biosample_summary,Biosample term name,Biosample term id,Experiment accession,Assay,Output type,File format,Library made from,Library depleted in,Biological replicate(s),Technical replicate,Biosample type,Biosample life stage,Biosample sex,Biosample Age,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR,Biosample treatments,Biosample subcellular fraction term name,Library extraction method,Library lysis method,Library strand specific,Project,Lab,Experiment date released,Derived from,Size,md5sum,File accession,File download URL,Assembly,File Status,Biosample organism,Biosample phase,Biosample synchronization stage,Experiment target,Antibody accession,RBNS protein concentration,Library fragmentation method,Library size range,Read length,Mapped read length,Run type,Paired end,Paired with,Platform,Controlled by,Library crosslinking method,dbxrefs
A549 nuclear fraction,A549,EFO:0001086,ENCSR000CTM,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,3,-,immortalized cell line,adult,male,58 year,-,-,-,-,-,nucleus,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/21/12,"ENCFF407UDJ, ENCFF826ONU",9492771,062398b4555279c4d68881c191d92083,ENCFF492OGP,https://www.encodeproject.org/files/ENCFF492OGP/@@download/ENCFF492OGP.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 treated with dexamethasone,A549,EFO:0001086,ENCSR000BYJ,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,1,-,immortalized cell line,adult,male,58 year,missing spikeins,biological replicates with identical biosample,insufficient read length,-,dexamethasone,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,2/23/12,"ENCFF826ONU, ENCFF960SMW",9777642,7c0a1fcb9a51b48beb8574632467ee4b,ENCFF840LXD,https://www.encodeproject.org/files/ENCFF840LXD/@@download/ENCFF840LXD.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 treated with dexamethasone,A549,EFO:0001086,ENCSR000BYJ,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,2,-,immortalized cell line,adult,male,58 year,missing spikeins,biological replicates with identical biosample,insufficient read length,-,dexamethasone,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,2/23/12,"ENCFF275VGD, ENCFF826ONU",9778433,5b50da8b202d9e2ba568c31dc8ba6f84,ENCFF678EUF,https://www.encodeproject.org/files/ENCFF678EUF/@@download/ENCFF678EUF.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 treated with dexamethasone,A549,EFO:0001086,ENCSR000BYH,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,1,-,immortalized cell line,adult,male,58 year,missing spikeins,biological replicates with identical biosample,insufficient read length,-,dexamethasone,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,2/23/12,"ENCFF017ULF, ENCFF826ONU",9786734,79efef814075f554bbfa586f2f934859,ENCFF335DQU,https://www.encodeproject.org/files/ENCFF335DQU/@@download/ENCFF335DQU.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 treated with dexamethasone,A549,EFO:0001086,ENCSR000BYH,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,2,-,immortalized cell line,adult,male,58 year,missing spikeins,biological replicates with identical biosample,insufficient read length,-,dexamethasone,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,2/23/12,"ENCFF826ONU, ENCFF931JMD",9788237,4f2c5fa89de4290be259364bfca02945,ENCFF063NWQ,https://www.encodeproject.org/files/ENCFF063NWQ/@@download/ENCFF063NWQ.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 treated with dexamethasone,A549,EFO:0001086,ENCSR000BXY,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,1,-,immortalized cell line,adult,male,58 year,missing spikeins,biological replicates with identical biosample,insufficient read length,-,dexamethasone,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,2/23/12,"ENCFF055WFS, ENCFF826ONU",9795840,14eec84f0c4f13a0a446919da4e1f2bc,ENCFF219FVQ,https://www.encodeproject.org/files/ENCFF219FVQ/@@download/ENCFF219FVQ.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 treated with dexamethasone,A549,EFO:0001086,ENCSR000BXY,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,2,-,immortalized cell line,adult,male,58 year,missing spikeins,biological replicates with identical biosample,insufficient read length,-,dexamethasone,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,2/23/12,"ENCFF331EDU, ENCFF826ONU",9781811,3e41d70c4369f97e317db113f79fd9e9,ENCFF110IED,https://www.encodeproject.org/files/ENCFF110IED/@@download/ENCFF110IED.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 treated with dexamethasone,A549,EFO:0001086,ENCSR000BYI,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,1,-,immortalized cell line,adult,male,58 year,missing spikeins,biological replicates with identical biosample,insufficient read length,-,dexamethasone,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,2/23/12,"ENCFF208NES, ENCFF826ONU",9797955,0885ce028a1a15a0b98bc062ea14df5b,ENCFF724EVG,https://www.encodeproject.org/files/ENCFF724EVG/@@download/ENCFF724EVG.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A549 treated with dexamethasone,A549,EFO:0001086,ENCSR000BYI,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,2,-,immortalized cell line,adult,male,58 year,missing spikeins,biological replicates with identical biosample,insufficient read length,-,dexamethasone,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,2/23/12,"ENCFF826ONU, ENCFF896SEM",9792047,3340b483aa31836dafc2dd3429d6b78d,ENCFF543BCR,https://www.encodeproject.org/files/ENCFF543BCR/@@download/ENCFF543BCR.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell,B cell,CL:0000236,ENCSR000EIM,DNase-seq,peaks,bed narrowPeak,DNA,-,-,-,primary cell,unknown,unknown,unknown,-,"missing derived_from, biological replicates with identical biosample",-,-,-,-,see document,see document,FALSE,ENCODE,"Gregory Crawford, Duke",4/19/11,-,893274,fe463a299af6fbefa38beeba59426767,ENCFF001SOJ,https://www.encodeproject.org/files/ENCFF001SOJ/@@download/ENCFF001SOJ.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell,B cell,CL:0000236,ENCSR000EIM,DNase-seq,peaks,bed narrowPeak,DNA,-,-,-,primary cell,unknown,unknown,unknown,-,"missing derived_from, biological replicates with identical biosample",-,-,-,-,see document,see document,FALSE,ENCODE,"Gregory Crawford, Duke",4/19/11,-,2198132,ac049fea9a6a67122d7d9e3a90473039,ENCFF001UUL,https://www.encodeproject.org/files/ENCFF001UUL/@@download/ENCFF001UUL.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (34 years),B cell,CL:0000236,ENCSR891VOV,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,primary cell,adult,female,34 year,"insufficient read depth, low spot score",-,-,-,-,-,see document,-,False,Roadmap,ENCODE Processing Pipeline,7/31/13,"ENCFF158VQA, ENCFF163ZHO",487247,dfc2613b644d188294aa13813dcd07cf,ENCFF654IWG,https://www.encodeproject.org/files/ENCFF654IWG/@@download/ENCFF654IWG.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR000EMJ,DNase-seq,peaks,bed narrowPeak,DNA,-,"1, 2",-,primary cell,adult,female,43 year,inconsistent platforms,-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",10/19/11,"ENCFF001ASR, ENCFF001CPC, ENCFF001CPD",1039247,d7548a5ab2366787b24bdc72adc620bf,ENCFF001SQD,https://www.encodeproject.org/files/ENCFF001SQD/@@download/ENCFF001SQD.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR000EMJ,DNase-seq,peaks,bed narrowPeak,DNA,-,"1, 2",-,primary cell,adult,female,43 year,inconsistent platforms,-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",10/19/11,ENCFF001ASR,1801264,490e47950a1ba1c384e4b6923f66ec60,ENCFF001VYW,https://www.encodeproject.org/files/ENCFF001VYW/@@download/ENCFF001VYW.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR000EMJ,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,primary cell,adult,female,43 year,inconsistent platforms,-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",10/19/11,ENCFF001CPD,1338332,1ff5267c6273a690c86489ab8258c156,ENCFF001WEQ,https://www.encodeproject.org/files/ENCFF001WEQ/@@download/ENCFF001WEQ.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR000EMJ,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,primary cell,adult,female,43 year,inconsistent platforms,-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",10/19/11,ENCFF001CPC,1270683,43089593ecfd99f370885c388df49b35,ENCFF001WEP,https://www.encodeproject.org/files/ENCFF001WEP/@@download/ENCFF001WEP.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR646BJT,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,primary cell,adult,female,43 year,insufficient read depth,-,-,extremely low spot score,-,-,see document,-,False,Roadmap,ENCODE Processing Pipeline,7/31/13,"ENCFF094PZI, ENCFF163ZHO",732440,4622e69542b2cec0d878c6d224000a16,ENCFF772OPR,https://www.encodeproject.org/files/ENCFF772OPR/@@download/ENCFF772OPR.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell male adult (37 years),B cell,CL:0000236,ENCSR247IUJ,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,primary cell,adult,male,37 year,insufficient read depth,-,-,extremely low spot score,-,-,see document,-,False,Roadmap,ENCODE Processing Pipeline,7/31/13,"ENCFF163ZHO, ENCFF331RKT",455504,f77b23096b00a67e0e5b677bac16cd2b,ENCFF210RAG,https://www.encodeproject.org/files/ENCFF210RAG/@@download/ENCFF210RAG.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell,B cell,CL:0000236,ENCSR000EIM,DNase-seq,base overlap signal,bigWig,DNA,-,-,-,primary cell,unknown,unknown,unknown,-,"missing derived_from, biological replicates with identical biosample",-,-,-,-,see document,see document,FALSE,ENCODE,"Gregory Crawford, Duke",4/19/11,-,1410511236,5e1830f83fb4b810ed8ace6167a82b97,ENCFF000SGH,https://www.encodeproject.org/files/ENCFF000SGH/@@download/ENCFF000SGH.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell,B cell,CL:0000236,ENCSR000EIM,DNase-seq,signal,bigWig,DNA,-,-,-,primary cell,unknown,unknown,unknown,-,"missing derived_from, biological replicates with identical biosample",-,-,-,-,see document,see document,FALSE,ENCODE,"Gregory Crawford, Duke",4/19/11,-,3415753966,7bd88601403c273a082419389e06a7f8,ENCFF000SGK,https://www.encodeproject.org/files/ENCFF000SGK/@@download/ENCFF000SGK.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR000EMJ,DNase-seq,raw signal,bigWig,DNA,-,"1, 2",-,primary cell,adult,female,43 year,inconsistent platforms,-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",10/19/11,ENCFF001ASR,348879447,9efba09bf43bea4548343ab908b0b1f4,ENCFF001ARN,https://www.encodeproject.org/files/ENCFF001ARN/@@download/ENCFF001ARN.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR000EMJ,DNase-seq,signal,bigWig,DNA,-,"1, 2",-,primary cell,adult,female,43 year,inconsistent platforms,-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",10/19/11,ENCFF001ASR,517300445,c1f72311dab961a3edc77ee560866c94,ENCFF001ASM,https://www.encodeproject.org/files/ENCFF001ASM/@@download/ENCFF001ASM.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR000EMJ,DNase-seq,raw signal,bigWig,DNA,-,2,-,primary cell,adult,female,43 year,inconsistent platforms,-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",10/19/11,ENCFF001CPD,179525672,d69e827d61608f936ace2ba64da171de,ENCFF001CQJ,https://www.encodeproject.org/files/ENCFF001CQJ/@@download/ENCFF001CQJ.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
B cell female adult (43 years),B cell,CL:0000236,ENCSR000EMJ,DNase-seq,raw signal,bigWig,DNA,-,1,-,primary cell,adult,female,43 year,inconsistent platforms,-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",10/19/11,ENCFF001CPC,157178868,d1dbf6f445e8eb017f6bad908263c82e,ENCFF001CQH,https://www.encodeproject.org/files/ENCFF001CQH/@@download/ENCFF001CQH.bigWig,hg19,released,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
B cell female adult (27 years) and female adult (43 years),B cell,CL:0000236,ENCSR000CTV,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,1,-,primary cell,adult,female,"27 year, 43 year",-,-,-,-,-,-,see document,see document,True,ENCODE,ENCODE Processing Pipeline,6/21/12,"ENCFF006QBZ, ENCFF826ONU",9418767,1d396ae23eeb3daedef824cefcd35833,ENCFF049GRB,https://www.encodeproject.org/files/ENCFF049GRB/@@download/ENCFF049GRB.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell female adult (27 years) and female adult (43 years),B cell,CL:0000236,ENCSR000CTV,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,2,-,primary cell,adult,female,"27 year, 43 year",-,-,-,-,-,-,see document,see document,True,ENCODE,ENCODE Processing Pipeline,6/21/12,"ENCFF307VQB, ENCFF826ONU",9437463,65919a794518eb9027ad03112dbad9f4,ENCFF422SXS,https://www.encodeproject.org/files/ENCFF422SXS/@@download/ENCFF422SXS.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B cell male adult (37 years),B cell,CL:0000236,ENCSR449GLL,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,1,-,primary cell,adult,male,37 year,-,-,-,-,-,-,see document,-,FALSE,Roadmap,ENCODE Processing Pipeline,7/31/13,"ENCFF213RKZ, ENCFF826ONU",9710557,b06fb7c009c7673ac8b92c9c018ec36f,ENCFF195UAA,https://www.encodeproject.org/files/ENCFF195UAA/@@download/ENCFF195UAA.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
